inchikey,smiles,mw,observed_as_reactant,observed_as_product,strict_starting_material_candidate,source_reaction_ids,source_files,classifications
WBGDLMYZCKDYCP-RTCVHVQXSA-N,COc1ccc(CCC(=O)c2c(O)cc(O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O[C@H]4O[C@H](C)[C@@H](O)[C@H](O)[C@@H]4O)[C@H]3O)cc2O)cc1O,612.581,False,True,False,LIT_0021_v02,26-06-18 黄酮化合物的生物合成.md,biosynthesis
CIQBPAPICSRJCD-UHFFFAOYSA-N,COc1ccc(O)c(C(=O)C#Cc2ccccc2)c1,252.269,True,True,False,LIT_0157_v01;LIT_0158_v01,26-06-26 黄酮化合物的合成.md,flavonoid_cyclization;flavonoid_synthesis
SMFFZOQLHYIRDA-UHFFFAOYSA-N,COc1ccc(O)cc1OC,154.165,True,False,True,LIT_0121_v01;LIT_0312,26-06-26 黄酮化合物的合成.md,literature_reaction;oxidation
XUYUGLCQEYFOOA-UHFFFAOYSA-N,COc1ccc(OC(=O)C#Cc2ccccc2)cc1,252.269,True,False,True,LIT_0157_v01,26-06-26 黄酮化合物的合成.md,flavonoid_synthesis
CFTGFQGJNBMNFR-UHFFFAOYSA-N,COc1ccc(OC)c(C=CC(=O)c2ccccc2)c1,268.312,False,True,False,LIT_0107_v05,26-06-26 黄酮化合物的合成.md,biosynthesis
KIQCIOGYLAKKJT-UHFFFAOYSA-N,COc1ccc(OCC(=O)O)cc1OC,212.201,True,True,False,LIT_0121_v01;LIT_0122_v01,26-06-26 黄酮化合物的合成.md,literature_reaction
AXJCTLVJVOXEIQ-BIFWDUKVSA-N,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O[C@H]5O[C@H](C)[C@@H](O)[C@H](O)[C@@H]5O)[C@H]4O)cc3O2)cc1O,610.565,True,False,True,LIT_0020_v02,26-06-18 黄酮化合物的生物合成.md,biosynthesis
CCQIFIXQZGYBNJ-AWEZNQCLSA-N,COc1ccc([C@H](CO)Cc2cc(OC)ccc2Br)cc1,351.24,True,True,False,LIT_0274;LIT_0275,26-06-26 黄酮化合物的合成.md,reduction
UYCVIRDBVXFPHY-AWEZNQCLSA-N,COc1ccc([C@H](C[O-])Cc2cc(OC)ccc2Br)cc1,350.232,True,True,False,LIT_0275;LIT_0276,26-06-26 黄酮化合物的合成.md,literature_reaction;reduction
KUPYPNPREJOQDS-RPWUZVMVSA-N,COc1ccc([C@H](Cc2cc(OC)ccc2Br)C(=O)N2C[C@@H](Cc3ccccc3)OC2=O)cc1,524.411,True,True,False,LIT_0273;LIT_0274,26-06-26 黄酮化合物的合成.md,literature_reaction;reduction
